data_seed,training_seed,w,monopole_count,positive_count,negative_count,total_charge,coarse_candidates,search_seconds
40,42,0.1,8,5,3,2,8,5.811927080154419
41,42,0.1,5,4,1,3,5,5.075804233551025
42,40,0.01,3,2,1,1,3,3.2081339359283447
42,40,0.03,5,4,1,3,5,2.574510097503662
42,40,0.1,8,5,3,2,8,5.227818012237549
42,40,0.3,7,0,7,-7,7,3.3206980228424072
42,40,0.0,0,0,0,0,0,0.6808829307556152
42,40,1.0,6,6,0,6,6,59.800699949264526
42,41,0.01,4,1,3,-2,4,2.549499988555908
42,41,0.03,4,1,3,-2,4,4.010447025299072
42,41,0.1,7,0,7,-7,7,2.727436065673828
42,41,0.3,7,0,7,-7,7,3.372313976287842
42,41,0.0,0,0,0,0,0,1.3241980075836182
42,41,1.0,6,1,5,-4,6,50.912285804748535
42,42,0.01,5,3,2,1,5,4.397334814071655
42,42,0.03,5,3,2,1,5,3.3099563121795654
42,42,0.1,7,5,2,3,7,2.581303596496582
42,42,0.3,5,5,0,5,5,3.426409959793091
42,42,0.0,0,0,0,0,0,1.3373560905456543
42,42,1.0,5,0,5,-5,5,57.67607593536377
42,43,0.01,5,3,2,1,5,3.8672947883605957
42,43,0.03,4,2,2,0,4,5.161391019821167
42,43,0.1,6,0,6,-6,6,3.285243034362793
42,43,0.3,5,0,5,-5,5,3.339911937713623
42,43,0.0,0,0,0,0,0,1.3387179374694824
42,43,1.0,5,0,5,-5,5,64.13039493560791
42,44,0.01,5,4,1,3,5,4.645086050033569
42,44,0.03,4,4,0,4,4,2.601691961288452
42,44,0.1,7,2,5,-3,7,6.640040874481201
42,44,0.3,5,5,0,5,5,3.338428258895874
42,44,0.0,0,0,0,0,0,0.6830148696899414
42,44,1.0,7,6,1,5,7,47.62639808654785
43,42,0.1,7,3,4,-1,7,6.54190993309021
44,42,0.1,3,2,1,0,3,4.887369871139526
