data_seed,training_seed,probe_seed,w,epochs,minibatch_size,final_loss,final_bias,final_variance,mean_surface_distance,p95_surface_distance,bridge_fraction_0p25,component_0_fraction,component_1_fraction,lambda_1,training_seconds
40,42,42,0.1,10000,50,0.04459836957976222,0.006778146605938673,0.3782022297382355,0.08584295362582094,0.14076175509648603,0.0075,0.6905,0.3095,0.09329456835985184,10.931282043457031
41,42,42,0.1,10000,50,0.040389652363955975,0.007892454974353313,0.3249719738960266,0.08778126778428823,0.16948436792402918,0.0045,0.692,0.308,0.07736379653215408,10.93258810043335
42,40,42,0.0,10000,50,3.457167258602567e-05,3.457167258602567e-05,9.03384017944336,0.07523719742806981,0.18482093609545128,0.007,0.6925,0.3075,9.424235343933105,10.91549801826477
42,41,42,0.0,10000,50,6.446019688155502e-05,6.446019688155502e-05,7.035707473754883,0.0739034617007675,0.18100880620439894,0.0055,0.6925,0.3075,6.5508856773376465,10.94443130493164
42,42,42,0.0,10000,50,0.00011285678192507476,0.00011285678192507476,7.7949090003967285,0.07124063162556578,0.17626606652083263,0.0055,0.6925,0.3075,6.165788173675537,10.908405065536499
42,43,42,0.0,10000,50,0.00013233540812507272,0.00013233540812507272,8.295510292053223,0.07191560069130523,0.17903870246988265,0.006,0.6925,0.3075,7.834486484527588,10.90720796585083
42,44,42,0.0,10000,50,3.848980850307271e-05,3.848980850307271e-05,7.665272235870361,0.0735471758513484,0.17969105408863092,0.0065,0.6925,0.3075,7.4379963874816895,10.893126010894775
42,40,42,0.01,10000,50,0.008281290233135223,0.0019553080201148987,0.6325982213020325,0.031185123268895082,0.09478031292926399,0.0,0.6925,0.3075,0.40921083092689514,10.853478908538818
42,41,42,0.01,10000,50,0.009765143357217312,0.0027472740039229393,0.7017869353294373,0.022154358867659006,0.053973600600482355,0.0,0.6925,0.3075,0.24130505323410034,10.795989036560059
42,42,42,0.01,10000,50,0.009489662582054734,0.002508171135559678,0.6981491446495056,0.02053504193708345,0.05272033221763573,0.0,0.6925,0.3075,0.2255331575870514,10.814194202423096
42,43,42,0.01,10000,50,0.010304184406995773,0.0024222247302532196,0.7881959676742554,0.03630330942945024,0.09738408054789646,0.0045,0.6895,0.3105,0.5391947627067566,10.839539051055908
42,44,42,0.01,10000,50,0.007785002016462386,0.0017409712309017777,0.6044030785560608,0.03051999352543079,0.08683185060568904,0.0,0.6925,0.3075,0.31070104241371155,10.981246948242188
42,40,42,0.03,10000,50,0.018985319156199693,0.0036796671338379383,0.5101884007453918,0.034299291271194736,0.08359727389373654,0.0005,0.694,0.306,4.777571575687034e-06,10.883494138717651
42,41,42,0.03,10000,50,0.016990782618522646,0.0034362375736236572,0.45181816816329956,0.03658207087727219,0.0702362385312232,0.0005,0.6925,0.3075,0.10255679488182068,10.849707841873169
42,42,42,0.03,10000,50,0.01594120950438082,0.0029984808061271906,0.4314242899417877,0.03198628941549994,0.06098435423636204,0.001,0.692,0.308,4.871961209573783e-06,10.831423997879028
42,43,42,0.03,10000,50,0.018668573377653958,0.003176967380568385,0.516386866569519,0.042800114246617005,0.09189845427015716,0.0005,0.6925,0.3075,1.7961907360586338e-05,10.827661037445068
42,44,42,0.03,10000,50,0.023301786947995423,0.004119225312024355,0.6394187211990356,0.0448300094648945,0.0870307861267704,0.0055,0.6915,0.3085,7.925026693555992e-06,10.79680585861206
